"Task Name","Description","Status","Priority","List","Tags","User Type","Next Step","Notion URL"
"Account access","What it does: Lets users sign in or sign up securely, with role-based routing for clients and advisors. | Examples: Client signs in to the dashboard; advisor signs in to the advisor workspace; invited client signs up using an advisor access key. | Current app behaviour: Shipped with Supabase Auth, login/signup, role-aware middleware, and auth callback support. | Gaps and next steps: Keep account issue states clear and continue testing role redirects carefully.","Done","High","Setup","auth,client,advisor","Client; Advisor","Keep account and role-routing states clear.","https://www.notion.so/363a694147bf818fb1d7d83ca97c3d97"
"Role-based workspace","What it does: Sends clients and advisors to the correct workspace and protects role-specific routes. | Examples: Client lands on dashboard; advisor lands on advisor workspace; inconsistent profiles go to an account issue path. | Current app behaviour: Shipped using profile type, middleware, and app layout checks. | Gaps and next steps: Ensure new routes are added to the correct client or advisor area.","Done","High","Navigation","auth,navigation,roles","Client; Advisor","Keep redirects and account issue states easy to understand.","https://www.notion.so/363a694147bf8111a0c3d33bdd163da3"
"Client onboarding","What it does: Guides new clients through the minimum setup needed to make the app useful. | Examples: Client enters income and lifestyle assumptions; chooses a starter budget; advisor gets enough data for a first review. | Current app behaviour: Shipped with income, lifestyle, strategy, and guided budget setup. | Gaps and next steps: Keep onboarding short and move advanced details into setup.","Done","High","Setup","onboarding,client,setup","Client","Improve handoff from onboarding to setup hub.","https://www.notion.so/363a694147bf81469cf3ff897ab20417"
"Client home dashboard","What it does: Gives clients a clear landing page for their current financial position and the most important next actions. | Examples: Client checks safe-to-spend; reviews net worth before advisor meeting; updates missing setup information. | Current app behaviour: Shipped with safe-to-spend, spending versus budget, net worth, savings, and projection sections. | Gaps and next steps: Improve empty and partial states when setup is incomplete.","Done","High","Dashboard","dashboard,client,home","Client","Keep this as the main client landing page.","https://www.notion.so/363a694147bf8130be6ef16910b099a1"
"Net worth summary","What it does: Shows a client’s assets minus debts so they can understand their overall financial position. | Examples: Client adds cash, CPF, investments, property, vehicles, and debts; advisor explains where wealth is concentrated. | Current app behaviour: Shipped in dashboard and supported by setup data. | Gaps and next steps: Add clearer historical movement if balance snapshots are introduced.","Done","High","Dashboard","net-worth,assets,debts","Client","Keep calculation transparent.","https://www.notion.so/363a694147bf81829518e6192c376149"
"Monthly spending view","What it does: Shows month-by-month spending activity and whether spending is staying within budget. | Examples: Client checks category overspend; adds an expense; advisor reviews spending patterns. | Current app behaviour: Shipped in Activity / Expenses with expense entry, lists, charts, and spending guidance. | Gaps and next steps: Account syncing is not yet shipped, so expense data is manually managed.","Done","High","Dashboard","expenses,budget,activity","Client","Improve categorisation and review workflows.","https://www.notion.so/363a694147bf81b895f8e1f375cda5cd"
"Spending guidance","What it does: Turns budget and expense data into simple guidance about whether the client is on track this month. | Examples: Client sees discretionary spending running ahead of budget; advisor discusses realistic budget changes. | Current app behaviour: Shipped in Activity and dashboard month sections. | Gaps and next steps: Improve guidance for irregular spending months.","Done","Medium","Budget","spending,budget,guidance","Client","Connect guidance to suggested next actions.","https://www.notion.so/363a694147bf81939ba7e728fadfb621"
"Long-term projections","What it does: Projects future wealth using savings, CPF, investments, vehicles, housing, debts, and retirement assumptions. | Examples: Client sees how monthly investing affects retirement; advisor explains current behaviour versus disciplined savings. | Current app behaviour: Shipped as illustrative projections in dashboard and planning surfaces. | Gaps and next steps: Keep assumptions visible and editable; dedicated scenario comparison is still planned.","Done","High","Planning","projection,retirement,wealth","Client","Keep outputs clearly educational, not regulated advice.","https://www.notion.so/363a694147bf815f8ac0db9ebe112af6"
"CPF retirement view","What it does: Shows CPF retirement scenarios, including retirement account estimates and FRS/BRS/ERS context. | Examples: Client checks trajectory toward FRS; advisor explains CPF readiness alongside cash and investments. | Current app behaviour: Shipped as an educational CPF retirement projection on the dashboard. | Gaps and next steps: Review CPF constants regularly and avoid implying guaranteed CPF LIFE payouts.","Done","High","Planning","cpf,retirement,singapore","Client","Keep CPF methodology easy to find.","https://www.notion.so/363a694147bf8143a0f3cb8091185853"
"Planning overview","What it does: Gives clients a high-level planning snapshot before they enter detailed planning workspaces. | Examples: Client decides whether to work on cash flow, wealth, protection, or future goals. | Current app behaviour: Partial, using live dashboard-style data plus roadmap cards. | Gaps and next steps: Replace roadmap-only cards with real workflows as modules ship.","In progress","Medium","Planning","overview,planning","Client","Make incomplete setup states clearer.","https://www.notion.so/363a694147bf8131ac16f0466529e463"
